SiteName,Ycoord,Xcoord,Zcoord
BH02,-19.665188,139.319439,340.00
BH05,-19.665188,139.319439,340.00
Blank,-19.665188,139.319439,340.00
Calton Hills House,-19.665188,139.319439,340.00
Calton Hills House Bore,-19.665188,139.319439,340.00
Calton Hills House Well,-19.665188,139.319439,340.00
GWMB01,-19.699650,139.353417,324.09
GWMB02,-19.696999,139.354913,278.33
GWMB03,-19.691734,139.356083,293.11
GWMB03R,-19.696126,139.350382,277.21
GWMB04,-19.692106,139.354343,287.73
GWMB04R,-19.694281,139.351069,275.08
GWMB05,-19.695851,139.349927,280.13
GWMB05R,-19.691391,139.355104,285.29
GWMB06,-19.697652,139.349231,276.77
GWMB06R,-19.690627,139.356600,291.55
GWMB07,-19.702835,139.349951,269.09
GWMB08,-19.690433,139.364948,214.89
GWMB09,-19.690433,139.364957,214.90
GWMB10,-19.690509,139.365424,214.90
GWMB11,-19.689865,139.366098,215.45
GWMB12,-19.691819,139.364390,214.60
GWMB13(1),-19.663635,139.365649,265.00
GWMB13,-19.692216,139.364386,215.01
GWMB14,-19.692999,139.364054,214.80
GWMB15,-19.692409,139.362686,209.40
GWMB16,-19.694839,139.361755,218.58
GWMB17,-19.693746,139.360708,204.70
GWMB18,-19.690273,139.358340,198.89
GWMB19,-19.691296,139.357538,201.65
GWMB20,-19.703473,139.365426,312.10
GWMB21,-19.703473,139.365445,314.07
GWMB22,-19.703701,139.366645,311.24
GWMB23,-19.698461,139.366564,302.10
GWMB24,-19.694928,139.371484,260.95
GWMB25,-19.694666,139.369550,254.70
GWMB26,-19.691754,139.370152,245.92
GWMB27,-19.690307,139.367235,228.20
GWMB28,-19.687582,139.366398,224.90
GWMB29,-19.686618,139.366704,225.60
GWMB30,-19.687290,139.364131,202.39
GWMB31,-19.686577,139.365206,230.00
GWMB32,-19.684929,139.366740,199.20
GWMB33,-19.684920,139.367760,205.80
GWMB34,-19.702022,139.370782,270.00
GWMB35,-19.681869,139.374964,195.00
GWMB36,-19.683942,139.368419,201.00
GWMB37,-19.705299,139.348695,240.00
GWMB38,-19.712512,139.352112,277.00
GWMB39,-19.683241,139.369828,210.00
GWMB40,-19.692870,139.361747,217.00
GWMB41,-19.689982,139.360107,206.77
GWMB42,-19.690243,139.359065,201.36
GWMB43,-19.704926,139.367252,296.07
GWMB44,-19.698455,139.367890,227.43
GWMB45,-19.699090,139.359328,225.62
GWMB46,-19.700033,139.358669,246.00
GWMB47,-19.684359,139.367613,223.21
GWMB47*,-19.711804,139.360667,315.00
GWMB48,-19.685407,139.366687,226.00
GWMB50,-19.701227,139.350988,268.47
GWMB51,-19.701075,139.351123,270.29
GWMB52,-19.701075,139.351094,270.04
GWMB53,-19.701066,139.351104,269.98
GWMB56,-19.698000,139.349819,269.35
GWMB57,-19.697982,139.349810,269.32
GWMB58,-19.696868,139.349497,255.62
GWMB59,-19.693320,139.355666,281.83
GWMB60,-19.693302,139.355657,276.00
GWMB61,-19.694719,139.361480,218.44
GWMB62,-19.695185,139.362048,223.32
GWMB64,-19.695159,139.362105,230.00
GWMB65,-19.665188,139.319439,340.00
GWMB66,-19.665188,139.319439,340.00
GWMB67,-19.665188,139.319439,340.00
GWMB68,-19.665188,139.319439,340.00
GWMB69,-19.665188,139.319439,340.00
OTB1A,-19.686558,139.367076,227.00
OTB1B,-19.686558,139.367057,227.00
OTB2A,-19.685112,139.368016,226.00
OTD2B,-19.685094,139.367997,226.00
PB59A,-19.698036,139.349800,268.61
PB59B,-19.698027,139.349790,268.50
PB59BB,-19.698009,139.349800,268.50
